ligand,target,activity,minuslog_activity
CHEMBL1000,CHEMBL231,79.43,7.100015437450609
CHEMBL1002,CHEMBL210,5623.41,5.250000251143582
CHEMBL1008,CHEMBL240,549.54,6.260000690598032
CHEMBL101253,CHEMBL1844,18.0,7.7447274948966935
CHEMBL101253,CHEMBL1868,380.0,6.42021640338319
CHEMBL101253,CHEMBL1913,58.0,7.236572006437063
CHEMBL101253,CHEMBL1936,700.0,6.154901959985743
CHEMBL101253,CHEMBL1955,330.0,6.481486060122113
CHEMBL101253,CHEMBL2007,96.0,7.017728766960432
CHEMBL101253,CHEMBL203,457.7,6.339419087572701
CHEMBL101253,CHEMBL2041,7600.0,5.119186407719209
CHEMBL101253,CHEMBL279,6754.0,5.170438943700607
CHEMBL101253,CHEMBL3886,4400.0,5.356547323513812
CHEMBL101253,CHEMBL4223,1800.0,5.7447274948966935
CHEMBL101253,CHEMBL4601,2700.0,5.568636235841013
CHEMBL101253,CHEMBL5319,270.0,6.568636235841013
CHEMBL101253,CHEMBL5579,8800.0,5.055517327849832
CHEMBL1014,CHEMBL5365,9200.0,5.036212172654444
CHEMBL1014,CHEMBL5391,6200.0,5.2076083105017466
CHEMBL1016,CHEMBL1835,3059.4,5.514363737648883
CHEMBL1016,CHEMBL227,10.72,7.969805214643249
CHEMBL1017,CHEMBL1808,6000.0,5.221848749616356
CHEMBL1017,CHEMBL227,150.0,6.823908740944319
CHEMBL1017,CHEMBL5845,3200.0,5.494850021680094
CHEMBL10188,CHEMBL2327,3981.07,5.40000018605658
CHEMBL10188,CHEMBL4429,229.09,6.639993867770902
CHEMBL1020,CHEMBL1900,2390.0,5.621602099051862
CHEMBL1020,CHEMBL2157,90.0,7.045757490560675
CHEMBL1020,CHEMBL221,41.0,7.3872161432802645
CHEMBL1023,CHEMBL1870,24.0,7.619788758288394
CHEMBL1023,CHEMBL2003,130.0,6.886056647693163
CHEMBL1023,CHEMBL2004,75.0,7.1249387366083
CHEMBL1023,CHEMBL2008,50.0,7.301029995663981
CHEMBL1023,CHEMBL2055,180.0,6.7447274948966935
CHEMBL1023,CHEMBL2061,1890.0,5.723538195826756
CHEMBL1023,CHEMBL2808,196.0,6.707743928643524
CHEMBL1023,CHEMBL3713687,5900.0,5.229147988357856
CHEMBL1023,CHEMBL4093,434.0,6.36251027048749
CHEMBL1027,CHEMBL1903,380.19,6.41999931041096
CHEMBL1029,CHEMBL3761,230.0,6.638272163982407
CHEMBL103,CHEMBL1871,37.0,7.431798275933005
CHEMBL103,CHEMBL1994,14.0,7.853871964321762
CHEMBL103,CHEMBL2034,30.5,7.515700160653214
CHEMBL103,CHEMBL208,50.0,7.301029995663981
CHEMBL103,CHEMBL3305,114.82,6.9399824574684
CHEMBL10316,CHEMBL1867,7.079,8.15002808767115
CHEMBL10316,CHEMBL1916,17.78,7.7500682433658055
CHEMBL10316,CHEMBL1942,22.91,7.6399749108106025
CHEMBL10316,CHEMBL1951,1000.0,6.0
CHEMBL10316,CHEMBL2039,1000.0,6.0
CHEMBL10316,CHEMBL3923,1256.03,5.9009999874468635
CHEMBL1034,CHEMBL221,3.0,8.522878745280337
CHEMBL1034,CHEMBL230,840.0,6.075720713938118
CHEMBL1034,CHEMBL4681,2600.0,5.585026652029182
CHEMBL103667,CHEMBL1844,8100.0,5.0915149811213505
CHEMBL103667,CHEMBL1862,6900.0,5.161150909262744
CHEMBL103667,CHEMBL1868,410.0,6.3872161432802645
CHEMBL103667,CHEMBL1913,1100.0,5.958607314841775
CHEMBL103667,CHEMBL1936,2400.0,5.619788758288394
CHEMBL103667,CHEMBL1955,7100.0,5.1487416512809245
CHEMBL103667,CHEMBL1974,5000.0,5.301029995663981
CHEMBL103667,CHEMBL2007,1200.0,5.920818753952375
CHEMBL103667,CHEMBL203,9100.0,5.040958607678906
CHEMBL103667,CHEMBL2041,500.0,6.301029995663981
CHEMBL103667,CHEMBL2068,6200.0,5.2076083105017466
CHEMBL103667,CHEMBL2073,4900.0,5.309803919971486
CHEMBL103667,CHEMBL2250,680.0,6.167491087293763
CHEMBL103667,CHEMBL258,1200.0,5.920818753952375
CHEMBL103667,CHEMBL260,398.11,6.399996913372259
CHEMBL103667,CHEMBL2637,1400.0,5.853871964321762
CHEMBL103667,CHEMBL2695,7100.0,5.1487416512809245
CHEMBL103667,CHEMBL279,3900.0,5.4089353929735005
CHEMBL103667,CHEMBL2815,1000.0,6.0
CHEMBL103667,CHEMBL3290,440.0,6.356547323513812
CHEMBL103667,CHEMBL3650,4300.0,5.366531544420414
CHEMBL103667,CHEMBL3886,860.0,6.0655015487564325
CHEMBL103667,CHEMBL3905,2700.0,5.568636235841013
CHEMBL103667,CHEMBL3961,1500.0,5.823908740944319
CHEMBL103667,CHEMBL3981,12.0,7.920818753952375
CHEMBL103667,CHEMBL3983,3300.0,5.481486060122113
CHEMBL103667,CHEMBL3987,1400.0,5.853871964321762
CHEMBL103667,CHEMBL3988,3900.0,5.4089353929735005
CHEMBL103667,CHEMBL4036,2000.0,5.698970004336019
CHEMBL103667,CHEMBL4128,20.0,7.698970004336019
CHEMBL103667,CHEMBL4134,270.0,6.568636235841013
CHEMBL103667,CHEMBL4179,7.3,8.136677139879543
CHEMBL103667,CHEMBL4202,150.0,6.823908740944319
CHEMBL103667,CHEMBL4204,1600.0,5.795880017344075
CHEMBL103667,CHEMBL4223,1200.0,5.920818753952375
CHEMBL103667,CHEMBL4302,524.0,6.280668713016273
CHEMBL103667,CHEMBL4516,9400.0,5.026872146400302
CHEMBL103667,CHEMBL4526,2000.0,5.698970004336019
CHEMBL103667,CHEMBL4527,140.0,6.853871964321762
CHEMBL103667,CHEMBL4602,860.0,6.0655015487564325
CHEMBL103667,CHEMBL4674,296.0,6.528708288941061
CHEMBL103667,CHEMBL4898,570.0,6.2441251443275085
